MET2013_chr,pop_total.1,Agriculture,Architecture,"Area, Ethnic, and Civilization Studies",Biology and Life Sciences,Business,Communication Technologies,Communications,Computer and Information Sciences,Construction Services,Cosmetology Services and Culinary Arts,Criminal Justice and Fire Protection,Education Administration and Teaching,Electrical and Mechanic Repairs and Technologies,Engineering,Engineering Technologies,"English Language, Literature, and Composition",Environment and Natural Resources,Family and Consumer Sciences,Fine Arts,History,Interdisciplinary and Multi-Disciplinary Studies (General),Law,Liberal Arts and Humanities,Library Science,Linguistics and Foreign Languages,Mathematics and Statistics,Medical and Health Sciences and Services,Military Technologies,N/A,"Nuclear, Industrial Radiology, and Biological Technologies",Philosophy and Religious Studies,"Physical Fitness, Parks, Recreation, and Leisure",Physical Sciences,Psychology,"Public Affairs, Policy, and Social Work",Social Sciences,Theology and Religious Vocations,Transportation Sciences and Technologies
"Athens-Clarke County, GA",175968,0.142071285688307,#N/A,#N/A,5.989725404619022,3.114202582287689,0.21026550281869433,0.5569194398981633,4.529232587743226,0.19321694853609747,#N/A,#N/A,1.528687034006183,#N/A,#N/A,#N/A,1.443444262593199,#N/A,0.3750681942171304,1.4377614111656665,1.5798326968539735,#N/A,#N/A,0.2386797599563557,#N/A,1.1024731769412621,0.5853336970358247,0.7217221312965995,#N/A,124.67039461720313,#N/A,0.38643389707219494,1.6878068739770868,#N/A,2.972131296599382,#N/A,1.7219039825422806,#N/A,2.614111656664848
"Atlanta-Sandy Springs-Roswell, GA",5524759.875,0.09550981645847922,0.10904892394315288,#N/A,0.9743932952817359,3.17616288892225,0.08199485814876506,1.0150601557824708,0.6754566283258157,0.04177555460714863,#N/A,0.31638290221925375,1.1909454923046034,#N/A,1.0915746098993748,#N/A,0.343856690620784,#N/A,0.1534298550609924,0.7340034834665353,0.22123924239837922,0.10541886696396255,#N/A,0.08484709531993244,#N/A,#N/A,0.1881586949722705,1.0318494099951945,#N/A,53.32414771970316,#N/A,0.07891129690013762,0.36254946314958947,0.3689048980170934,0.9415602511543496,0.11470536582746234,0.9673263690045294,#N/A,#N/A
"Atlantic City-Hammonton, NJ",265415.125,#N/A,#N/A,#N/A,#N/A,2.380926218757366,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.4438010241498376,#N/A,55.43936001354675,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8170442479623339,#N/A,#N/A
"Auburn-Opelika, AL",151680.375,#N/A,#N/A,#N/A,3.8885096247377944,4.435826428640133,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100.58094006386543,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Augusta-Richmond County, GA-SC",528933.625,#N/A,#N/A,#N/A,0.9368417364133615,1.4598618308459204,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8016703141576805,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.2698541324192347,#N/A,62.220872433678416,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.46252112136485557,#N/A,#N/A
"Austin-Round Rock, TX",1966014,#N/A,0.2648770793970599,#N/A,0.8355291535073853,3.3584936787135558,#N/A,1.6547734630824324,0.8054069821772987,#N/A,#N/A,0.32679260943707256,1.099193611306564,#N/A,1.6931336053295543,#N/A,0.539345839656824,0.16495387927203126,0.23388244663029661,1.4353300641148512,0.41238883415174693,0.317480156901391,#N/A,0.19886544636349457,#N/A,0.31775008477552885,0.3075181539843546,0.8695966857001343,#N/A,58.40426917259241,#N/A,#N/A,0.5221871532346579,0.6552296766816768,0.9120024954872628,0.22114499571367335,1.8196080073544962,#N/A,#N/A
"Bakersfield, CA",868517.375,#N/A,#N/A,#N/A,#N/A,0.6431792787920809,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.42260423190347646,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.46113516709545477,#N/A,75.20765930115174,#N/A,#N/A,#N/A,#N/A,0.42175294415366443,#N/A,0.33710965345440597,#N/A,#N/A
"Baltimore-Columbia-Towson, MD",2720972.25,#N/A,0.1225365679048252,#N/A,1.511619578118196,2.8778734399877863,#N/A,0.9712128736188139,0.8982343027324775,#N/A,#N/A,0.5497304667156835,1.1828584875081034,#N/A,1.6288357967507228,#N/A,0.5305786249334654,0.15851759060916062,#N/A,1.1058218898253456,0.3516233484061312,#N/A,#N/A,0.13669797422032806,#N/A,0.18961748742571355,0.33312129475589614,1.4648368349736371,#N/A,50.9764999704259,#N/A,0.09864173293482519,0.3762642899373742,0.5447167268408917,1.2729806827775976,0.23345174076596176,1.4621702889140835,#N/A,#N/A
"Bangor, ME",158342.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.23223660339235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Barnstable Town, MA",242560.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,38.96118391102655,#N/A,#N/A,#N/A,#N/A,1.193283438146027,#N/A,#N/A,#N/A,#N/A
"Baton Rouge, LA",821405.375,#N/A,#N/A,#N/A,1.0925418187488263,1.6216598156303323,#N/A,0.8083014438423177,#N/A,#N/A,#N/A,#N/A,1.1598416232071709,#N/A,1.612591412437302,#N/A,0.5006816170848185,#N/A,#N/A,0.6805149287342118,#N/A,#N/A,#N/A,0.34483137558608645,#N/A,#N/A,#N/A,1.4950693915058304,#N/A,69.00958005313538,#N/A,#N/A,#N/A,0.5274053953229058,0.2991788214238133,#N/A,1.0092380626098942,#N/A,#N/A
"Battle Creek, MI",135974,#N/A,#N/A,#N/A,1.206112933354906,2.471060643946637,#N/A,1.4193890008383956,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.03677173577301543,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.4193890008383956,#N/A,51.45836704075779,#N/A,#N/A,#N/A,#N/A,0.9560651300984012,#N/A,0.7133716739964994,#N/A,#N/A
"Beaumont-Port Arthur, TX",393003.5,#N/A,#N/A,#N/A,#N/A,1.5126346826966865,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.054722733155112,#N/A,65.25639384967072,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bellingham, WA",209539.125,#N/A,#N/A,#N/A,#N/A,1.9612445474983977,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,86.48281708171321,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bend-Redmond, OR",170010.375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41.41243616932958,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Billings, MT",148098,#N/A,#N/A,#N/A,4.2471876730273195,6.623992221366932,#N/A,1.3369525584410322,#N/A,#N/A,#N/A,2.808950829855906,0.35111885373198826,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.654971707923132,#N/A,59.10950856865048,#N/A,#N/A,#N/A,#N/A,0.5131737093005982,#N/A,#N/A,#N/A,#N/A
"Binghamton, NY",237343.5,#N/A,#N/A,#N/A,#N/A,2.30144108714793,#N/A,#N/A,2.508343421976433,#N/A,#N/A,#N/A,1.8532033099045622,#N/A,1.5913314131091092,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60.13743230234361,#N/A,#N/A,#N/A,#N/A,1.3641258933672709,#N/A,#N/A,#N/A,#N/A
"Birmingham-Hoover, AL",1114530.625,#N/A,#N/A,#N/A,1.1990460435084502,2.7691121423980896,#N/A,0.942336603400969,#N/A,#N/A,#N/A,#N/A,1.2813068016865377,#N/A,0.6219098121346801,#N/A,#N/A,#N/A,#N/A,0.6617244908575924,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.5836439065444743,#N/A,51.71761905132824,#N/A,#N/A,0.2663787592538086,#N/A,0.520797688877528,#N/A,0.45721441781256417,#N/A,#N/A
"Bismarck, ND",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
