cluster,MET2013_chr,pop_total.1,Agriculture,Architecture,"Area, Ethnic, and Civilization Studies",Biology and Life Sciences,Business,Communication Technologies,Communications,Computer and Information Sciences,Construction Services,Cosmetology Services and Culinary Arts,Criminal Justice and Fire Protection,Education Administration and Teaching,Electrical and Mechanic Repairs and Technologies,Engineering,Engineering Technologies,"English Language, Literature, and Composition",Environment and Natural Resources,Family and Consumer Sciences,Fine Arts,History,Interdisciplinary and Multi-Disciplinary Studies (General),Law,Liberal Arts and Humanities,Library Science,Linguistics and Foreign Languages,Mathematics and Statistics,Medical and Health Sciences and Services,Military Technologies,N/A,"Nuclear, Industrial Radiology, and Biological Technologies",Philosophy and Religious Studies,"Physical Fitness, Parks, Recreation, and Leisure",Physical Sciences,Psychology,"Public Affairs, Policy, and Social Work",Social Sciences,Theology and Religious Vocations,Transportation Sciences and Technologies
1,"Atlanta-Sandy Springs-Roswell, GA",5524759.875,0.09550981645847922,0.10904892394315288,0.01481503885591137,0.9743932952817359,3.17616288892225,0.08199485814876506,1.0150601557824708,0.6754566283258157,0.04177555460714863,0.04873412611365116,0.31638290221925375,1.1909454923046034,0.0037883634306758746,1.0915746098993748,0.04284346653787712,0.343856690620784,0.049577756741650374,0.1534298550609924,0.7340034834665353,0.22123924239837922,0.10541886696396255,0.04840958553769636,0.08484709531993244,0,0.05629205694688228,0.1881586949722705,1.0318494099951945,0,53.32414771970316,8.054808785283286e-4,0.07891129690013762,0.36254946314958947,0.3689048980170934,0.9415602511543496,0.11470536582746234,0.9673263690045294,0.04650088785208835,0.008642672461481883
1,"Austin-Round Rock, TX",1966014,0.15728653494319136,0.2648770793970599,0.08488709270534928,0.8355291535073853,3.3584936787135558,0.07882220172327896,1.6547734630824324,0.8054069821772987,0.04565030137015754,0.0338837531127705,0.32679260943707256,1.099193611306564,0,1.6931336053295543,0.07777334336725172,0.539345839656824,0.16495387927203126,0.23388244663029661,1.4353300641148512,0.41238883415174693,0.317480156901391,0,0.19886544636349457,0.0036964709164458084,0.31775008477552885,0.3075181539843546,0.8695966857001343,0,58.40426917259241,0,0.1565882688000321,0.5221871532346579,0.6552296766816768,0.9120024954872628,0.22114499571367335,1.8196080073544962,0.04898824038029781,0.01640529904019245
1,"Baltimore-Columbia-Towson, MD",2720972.25,0.07593665562593567,0.1225365679048252,0.11341101134042195,1.511619578118196,2.8778734399877863,0.05853615300186468,0.9712128736188139,0.8982343027324775,0.03528921782455234,0.03227168729091664,0.5497304667156835,1.1828584875081034,0,1.6288357967507228,0.027231324070881385,0.5305786249334654,0.15851759060916062,0.12126807598164743,1.1058218898253456,0.3516233484061312,0.20267874565157523,0.021880763126056708,0.13669797422032806,0,0.18961748742571355,0.33312129475589614,1.4648368349736371,0.004138273261370428,50.9764999704259,0,0.09864173293482519,0.3762642899373742,0.5447167268408917,1.2729806827775976,0.23345174076596176,1.4621702889140835,0.11535664373418707,0.014943769732153504
1,"Birmingham-Hoover, AL",1114530.625,0.029472363332677907,0.06289382703839416,0.044415863857454066,1.1990460435084502,2.7691121423980896,0,0.942336603400969,0.18133711111497441,0.09063903758921169,0.01154712061000469,0.27661922989157856,1.2813068016865377,0,0.6219098121346801,0.10413207948951302,0.2945535949784067,0.055218421822990124,0.21881413401735691,0.6617244908575924,0.2029358130591144,0.16100040972977545,0.016566446286089255,0.03926481501523876,0,0.14141049040478212,0.2707894962261387,1.5836439065444743,0,51.71761905132824,0,0.052110322738270765,0.2663787592538086,0.24985317534258958,0.520797688877528,0.1624077534715312,0.45721441781256417,0.05178907107211306,0
1,"Boston-Cambridge-Newton, MA-NH",4783281.75,0.08801362178028727,0.2662695578660071,0.13083180578435946,2.1682131827754736,5.555812561205722,0.08609796944816066,1.3568732536926769,1.0360642594579896,0.05766674148817911,0.032703236993898585,0.7352069727819401,1.097334299692718,0.0067606869774735805,2.5154000984843274,0.1379929874357107,0.965131839770401,0.3244357370472682,0.1649132972469231,1.6511658568406165,0.7098196842221283,0.31425504098153867,0.058846455327293004,0.19506704994755705,0,0.2588679193115489,0.5632493954869485,1.8204682736679292,0,44.553394128386614,0,0.2532952525082196,0.4329728778517764,0.7940343071130471,2.0715629217370357,0.3067607325525259,2.7451751052656816,0.06310586069166531,0.044587664190436166
1,"Buffalo-Cheektowaga-Niagara Falls, NY",1134584,0.04162226838232398,0.22197777845380678,0.039747081299028535,1.3117816309554073,3.369554973482661,0.009162442375964816,1.102323221259168,0.5440059613858073,0.05131076868427098,0.007486249521100215,0.7226329339306429,1.8290367313897042,0,1.4625885024194878,0.1080335858267844,0.6272659045212643,0.11037819797367233,0.07545419495885072,0.6600676215795747,0.5833383607083948,0.13294552788700106,0.06662589276855091,0.09766877837263434,0.006071497959976686,0.25346380328073204,0.24203581734385524,1.5531357780708672,0,49.646792692308274,0,0.1943453818954289,0.46931266056507137,0.622304113850525,1.2936600136074499,0.26487115679327994,1.4542570632528617,0.06165745373151713,0
1,"Charlotte-Concord-Gastonia, NC-SC",2366771,0.042479123273677664,0.11950928667383287,0.05757796111335587,0.6069065378246944,3.3822150849192942,0.06164622231278432,1.1581408890623113,0.6094879729252625,0.06126287134015025,0.10537246187807639,0.5163986259649169,1.2363241944217491,0.02882005614699641,0.8552240596450279,0.08595193494717904,0.4117712794867027,0.11239838106309907,0.10403737719106282,0.5862728848211934,0.22969618200952477,0.19286770642602866,0.05202958519736326,0.05472522388095151,0.003903581074303365,0.044164749395903286,0.20676814609569527,0.7654586391916647,0,51.07728922042666,0,0.11956861023127449,0.5082084028929752,0.3158916235757759,0.888378179638228,0.2650119670078925,1.0720335875607367,0.11166037945484303,0.03127705614769464
1,"Chicago-Naperville-Elgin, IL-IN-WI",9484721.75,0.10444979186707257,0.158861262993228,0.0700595038435768,1.2837947491458108,4.135347604309415,0.07250707978307559,1.3295656384960035,0.684250580224902,0.04763594848951317,0.02312090341754056,0.470908994116171,1.3236959306109068,0.0022614263562825685,1.1272305024905442,0.09012600858989908,0.5357661948614059,0.09369893444729492,0.15749458385080253,1.2008460029074577,0.2863546916054409,0.16881887442987029,0.033604301639260474,0.19286666055747598,0.00106717421648069,0.2077813487363357,0.27804972323662763,1.3982962815839046,0,49.76575800353155,0.001040301874007697,0.11302920393891668,0.37660892295077036,0.571496358741156,1.27960120145374,0.22529152875240577,1.4862885022008534,0.06842543988828538,0.06716388511717658
1,"Cincinnati, OH-KY-IN",2094818.875,0.04286931149102163,0.06528379433913101,0.04765995871886133,0.9494866648268487,3.2334980289375315,0.038687734148692005,0.8854502977696226,0.4228984252783215,0.05258699097604872,0.005869135057182145,0.38049915940185003,1.242647401198141,0,1.0970051212841325,0.10729723656677195,0.41142507739307316,0.099357839777255,0.0911645707010072,0.819234421377418,0.25211758022440806,0.16653350424512744,0.021508695182105388,0.1138133117553533,0,0.17728799904367493,0.12547568660058794,1.766706811307981,0,52.52115715269912,0.006947139455440089,0.08542247331527882,0.4270591714364938,0.3160615389150822,0.8518755022479376,0.1817535531304296,0.7448642830893096,0.062372420844119494,0.005720671113861963
1,"Cleveland-Elyria, OH",2063838.5,0.037468480659896844,0.043275985629069064,0.05413638962670827,1.0470326544408182,2.9184167565191306,0.059080455599052874,0.7758616161401246,0.4861577567004374,0.03705848021806664,0.011580647238861305,0.29198833650350364,1.2456051919198932,0,1.214370601491822,0.06793179448345116,0.274532150802815,0.10062832586192307,0.06188194627920502,0.6757154300665479,0.22057958709729225,0.12334848767385924,0.022246308669138265,0.14006394364006539,0,0.04467493609934207,0.10127145720046485,1.5666253006318476,0,48.272769670441086,0,0.06761316400036813,0.2825077881207217,0.34152481498936743,0.8123362657022396,0.08021460218468332,0.7711307817828367,0.0340001564499095,0.028767766007604282
